latitude,altitude,precipitation,humidity,windspeed,temperature
34.1526,3500,102,70,1.4,5
34.5539,2676,327,76,5,7.5
34.3201,2987,76.2,54,11.3,3
32.9681,4595,76.2,70,8.8,-0.5
34.0837,1585,720,73,4.8,10.8
32.7266,327,1332,70,5.4,12.7
34.0161,2740,560,82,6.9,12.7
34.0484,2650,560,58,7.9,8.45
31.1048,2276,1415,68,3.8,14.3
32.2432,2050,1363,65,5,2.05
32.219,1457,2350,53,5.2,15
31.9592,1279,800,47,6.7,24.46
30.7333,321,1068,66,5,22
31.634,218,542,65,5.3,21.65
30.3398,257,677,67,1.9,22.2
30.901,247,733,68,2,22.7
30.3165,640,2073,68,2,19.35
29.9457,314,2137,68,6.2,27.5
29.8543,268,98,63,6.1,21.11
29.2183,424,101,74,10.9,21.38
26.8467,123,915,69,6.2,25.1
25.4358,98,632,66,2,24.85
27.1767,170,670,39,6.7,25.2
26.4499,126,885,40,6.4,21.38
29.6857,240,21,67,2,22.35
30.3752,264,1198,55,8.1,23.6
28.9931,224,13.04,41,11.3,23.8
28.8955,220,10.3,39,6.8,21.94
26.9124,431,565,53,7.6,24
24.5854,423,637,46,9,20
26.2389,231,365,64,8.8,25.3
26.4499,480,360,40,8.3,21.38
26.2124,196,700,61,7.1,49
23.1765,494,626,50,12,23.61
22.7196,550,952,59,9.2,25.35
23.2599,527,1090,58,8.1,25.7
25.5941,53,1213,70,2.8,24.05
24.7914,111,20.64,77,5,22.55
26.1542,52,1142,67,6.4,21.38
25.205,55,1000,65,7.9,16
22.8046,159,1370,55,3,254
23.7957,222,1280,44,2.2,25.55
23.3441,651,1400,68,2.5,23.5
23.6693,210,1025,51,5,17
27.1182,2286,1800,56,3,21
22.5726,9,1837,69,2.6,24.8
27.2036,2077,1500,51,4.5,11.25
23.0672,59,148,69,8.8,20.88
25.5788,1525,1150,85,5.2,13.5
25.2702,1430,1150,84,7.4,17.4
25.5141,349,386,75,5.8,20.55
25.8699,554,1150,84,4.3,18.405
26.1158,55,1600,82,4.5,22.65
24.8333,22,2135,87,1.9,24.44
27.4705,108,119.04,70,6.6,22.65
26.7509,116,1551,75,2,22.7
9.9312,0,3015,83,6.48,32
8.5241,10,1754,80,8.1,33
11.2588,1,3266,80,5,33
8.8932,3,1350,90,6.6,28.1
13.0827,6.7,1400,75,10,35
11.0168,411,700,73,7.2,33.8
9.9252,136,806,70,6.48,32.8
10.7905,88,860,60,8.35,35
17.6868,45,950,79,8.5,33
16.5062,11,205.48,60,5,36
15.8281,274,920,52.86,5,38
13.6288,980,180.34,55,4,33
17.385,542,906.3,65,9,36
17.9689,266,211,48,8,33
19.6641,264,615.696,49.18,7.5,34
17.2473,107,157.48,68,12,33
12.9716,920,970,48,8.2,29
15.3647,671,838,70.16,6.3,31
12.2958,763,776.7,70,5,32
17.3297,454,750,73,11.7,33
15.4909,7,2932,49,12,30
15.5937,15,89.29,75,7.5,28.8
15.2832,10,596.9,86,8,31
15.4027,42,553.72,60,8.6,30
19.076,14,2421.89,75,7.6,32
21.1458,310,1064.1,45,6.03,32
18.5204,560,763,69,6.6,28.6
19.9975,584,1950,66,6.7,29
21.2514,298,1489,62,5,32
21.1938,297,1188,84,5.5,31
22.0797,673,580,76,5.8,30
22.3595,316,1506.7,49.61,8,31
20.2961,58,1020.82,77,6.48,32
20.4625,36,964,76,7.6,33
22.2604,218,1800,83,9,33.5
19.8135,0,1449.1,78.7,10,30
23.0225,53,782,60,7,34
21.1702,13,1143,61,5,35
22.3072,32,806,40,9.8,36
22.3039,134,590,65,10.7,35
27.4847,281,116.33,82,2.1,25.64
27.361,363,91.82,74.06,2.2,22.82
28.9543,250,180,73.22,2.3,23
27.2031,1407,1000,84,2,24
25.6751,1444,1400,63,6.8,23
25.9091,145,318.02,71,3.5,25
24.1822,180,1500,82,10.5,26
26.2168,1313,2250,68,3.2,17.8
24.5245,59,1442,56.72,7.5,38
24.1827,960,1500,85,2,33
24.7807,790,1093,85,2,29
24.7828,790,1093,85,2,29
23.7307,1132,3000,79.25,1.4,22
23.4454,1678,2794,79.25,8.07,18
22.5284,847,241,76.7,3.417,25
22.8671,1222,2566,76.7,8.07,24
23.8315,13,2200,69,3.5,31
23.8027,200,200.39,72.5,15.5,30
23.8114,1220,200.39,72.5,15.2,29
24.3783,21,1850,88,15.1,30
