S.No,State,cities,latitude,altitude,precipitation (mm),humidity,windspeed,temp
1,ladakh,Leh,34.1526,3500,102,70,1.4,5
2,ladakh,Kargil,34.5539,2676,327,76,5,7.5
3,ladakh,Khalsi,,2987,,54,11.3,
4,ladakh,Karzok,32.9681,4595,,,8.8,-0.5
5,jammu and kashmir,Srinagar,34.0837,1585,720,73,4.8,10.8
6,jammu and kashmir,jammu,32.7266,327,1332,70,5.4,12.7
7,jammu and kashmir,pahalgum,34.0161,2740,560,82,6.9,12.7
8,jammu and kashmir,gulmarg,34.0484,2650,560,58,7.9,8.45
9,himachal pradesh,shimla,31.1048,2276,1415,68,3.8,14.3
10,himachal pradesh,manali,32.2432,2050,1363,65,5,2.05
11,himachal pradesh,dharamshala,32.219,1457,2350,53,5.2,15
12,himachal pradesh,kullu,31.9592,1279,800,47,6.7,24.46
13,punjab,chandigarh,30.7333,321,1068,,5,22
14,punjab,amritsar,31.634,218,542,65,5.3,21.65
15,punjab,patiala,30.3398,257,677,67,1.9,22.2
16,punjab,ludhiana,30.901,247,733,68,2,22.7
17,uttarakhand,dehradhun,30.3165,640,2073,68,2,19.35
18,uttarakhand,haridwar,29.9457,314,2137,68,6.2,27.5
19,uttarakhand,roorkee,29.8543,268,98,63,6.1,21.11
20,uttarakhand,haldwani,29.2183,424,,74,10.9,21.38
21,uttar pradesh,lucknow,26.8467,123,915,69,6.2,25.1
22,uttar pradesh,prayagraj,25.4358,98,632,66,2,24.85
23,uttar pradesh,agra,27.1767,170,670,39,6.7,25.2
24,uttar pradesh,kanpur,26.4499,126,885,40,6.4,21.38
25,haryana,karnal,29.6857,240,21,67,2,22.35
26,haryana,amabala,30.3752,264,1198,55,8.1,23.6
27,haryana,sonipat,28.9931,224,13.04,41,11.3,23.8
28,haryana,rohtak,28.8955,220,10.3,39,6.8,21.94
29,rajasthan,jaipur,26.9124,431,565,53,7.6,24
30,rajasthan,udaipur,24.5854,423,637,46,9,20
31,rajasthan,jodhpur,26.2389,231,365,64,8.8,25.3
32,rajasthan,ajmer,26.4499,480,,40,8.3,21.38
33,madhya pradesh ,gwailor,26.2124,196,700,61,7.1,49
34,madhya pradesh ,ujjain,23.1765,494,626,50,12,23.61
35,madhya pradesh ,indore,22.7196,550,952,59,9.2,25.35
36,madhya pradesh ,bhopal,23.2599,527,1090,58,8.1,25.7
37,bihar,patna,25.5941,53,1213,70,2.8,24.05
38,bihar,gaya,24.7914,111,20.64,77,5,22.55
39,bihar,darbhanga,26.1542,52,1142,67,6.4,21.38
40,bihar,bihar sharif,25.205,55,,65,7.9,16
41,jharkhand,jamshedpur,22.8046,159,1370,55,3,254
42,jharkhand,dhanbad,23.7957,222,1280,44,2.2,25.55
43,jharkhand,ranchi,23.3441,651,1400,68,2.5,23.5
44,jharkhand,bokaro,23.6693,210,1025,51,5,17
45,west bengal,rimbik,27.1182,2286,,56,,21
46,west bengal,kolkata,22.5726,9,1837,69,2.6,24.8
47,west bengal,rangli,27.2036,2077,,51,4.5,11.25
48,west bengal,vishnupur,23.0672,59,148,69,8.8,20.88
49,meghalya,shillong,25.5788,1525,1150,85,5.2,13.5
50,meghalya,cherrapunjee,25.2702,1430,,84,7.4,17.4
51,meghalya,tura,25.5141,349,386,75,5.8,20.55
52,meghalya,nongpoh,25.8699,554,,84,4.3,18.405
53,assam,guwahati,26.1158,55,1600,82,4.5,22.65
54,assam,silchar,24.8333,22,2135,87,1.9,24.44
55,assam,dibrugarh,27.4705,108,119.04,70,6.6,22.65
56,assam,jorhat,26.7509,116,1551,75,2,22.7
57,kerala,kochi,9.9312,0,3015,83,6.48,32
58,kerala,thiru pur.,8.5241,10,1754,80,8.1,33
59,kerala,kozhikhode,11.2588,1,3266,80,5,33
60,kerala,kollam,8.8932,3,1350,90,6.6,28.1
61,tamil nad,chennai,13.0827,6.7,1400,75,10,35
62,tamil nad,coimbatore,11.0168,411,700,73,7.2,33.8
63,tamil nad,madhurai,9.9252,136,806,70,6.48,32.8
64,tamil nad,tiruchirapalli,10.7905,88,860,60,8.35,35
65,andhra,vizag,17.6868,45,950,79,8.5,33
66,andhra,vijayawada,16.5062,11,205.48,60,5,36
67,andhra,kurnool,15.8281,274,920,52.86,5,38
68,andhra,tirupathi,13.6288,980,180.34,55,4,33
69,telangana,hyderabad,17.385,542,906.3,65,9,36
70,telangana,warangal,17.9689,266,211,48,8,33
71,telangana,adilabad,19.6641,264,615.696,49.18,7.5,34
72,telangana,khamam,17.2473,107,157.48,68,12,33
73,karnataka,bangalore,12.9716,920,970,48,8.2,29
74,karnataka,hubli,15.3647,671,838,70.16,6.3,31
75,karnataka,mysore,12.2958,763,776.7,70,5,32
76,karnataka,kalaburagi,17.3297,454,750,73,11.7,33
77,goa,panaji,15.4909,7,2932,49,12,30
78,goa,mapusa,15.5937,15,89.29,75,7.5,28.8
79,goa,margao,15.2832,10,596.9,86,8,31
80,goa,ponda,15.4027,42,553.72,60,8.6,30
81,maharastra,mumbai,19.076,14,2421.89,75,7.6,32
82,maharastra,nagpur,21.1458,310,1064.1,45,6.03,32
83,maharastra,pune,18.5204,560,763,69,6.6,28.6
84,maharastra,nashik,19.9975,584,1950,66,6.7,29
85,chattisgarh,raipur,21.2514,298,1489,62,5,32
86,chattisgarh,bhilai,21.1938,297,1188,84,5.5,31
87,chattisgarh,bilaspur,22.0797,673,580,76,5.8,30
88,chattisgarh,korba,22.3595,316,1506.7,49.61,8,31
89,odisha,bhub,20.2961,58,1020.82,77,6.48,32
90,odisha,cuttack,20.4625,36,964,76,7.6,33
91,odisha,rourkela,22.2604,218,1800,83,9,33.5
92,odisha,puri,19.8135,0,1449.1,78.7,10,30
93,gujarat,ahmedabad,23.0225,53,782,60,7,34
94,gujarat,surat,21.1702,13,1143,61,5,35
95,gujarat,vadodara,22.3072,32,806,40,9.8,36
96,gujarat,rajkot,22.3039,134,590,65,10.7,35
97,arunachal,miao,27.4847,281,116.33,82,,25.64
98,arunachal,seppa,27.361,363,91.82,74.06,,22.82
99,arunachal,mipi,28.9543,,,,,
100,arunachal,rupa,27.2031,1407,1000,84,,24
101,nagaland,kohima,25.6751,1444,1400,63,6.8,23
102,nagaland,dimapur,25.9091,145,318.02,71,3.5,25
103,nagaland,soma,24.1822,,,,10.5,26
104,nagaland,wokha,26.2168,1313,2250,68,3.2,17.8
105,manipur,bishnupur,24.5245,59,1442,56.72,7.5,38
106,manipur,chandel,24.1827,960,,,,33
107,manipur,imphal east,24.7807,790,1093,85,2,29
108,manipur,imphal west,24.7828,790,1093,85,2,29
109,mizoram,aizawl,23.7307,1132,3000,79.25,1.4,22
110,mizoram,champhai,23.4454,1678,2794,79.25,,18
111,mizoram,lawngtlai,22.5284,847,241,76.7,3.417,25
112,mizoram,lunglei,22.8671,1222,2566,76.7,,24
113,tripura,agartala,23.8315,13,2200,69,3.5,31
114,tripura,badharghat,23.8027,,200.39,72.5,15.5,30
115,tripura,jogendranagar,23.8114,1220,200.39,72.5,15.2,29
116,tripura,dharmanagar,24.3783,21,1850,88,15.1,30
